Input Number, Run_Number, Result@ 100, predator_g494, predator_mrna495, predator_Q2b, predator_Q1a, predator_g532, predator_mrna533, predator_Q2b_H2, predator_g532_Q2b_H2, predator_A, predator_g555, predator_mrna556, predator_ccdB, predator_H1, predator_H2, prey_g594, prey_mrna595, prey_H1_Q1b, prey_g594_H1_Q1b, prey_ccdB, prey_g616, prey_mrna617, prey_Q1b, prey_Q2a, prey_H2, prey_H1, H1, H2, Reaction1, Reaction2, Reaction3, Reaction4, Reaction5, Reaction6, Reaction7, Reaction8, Reaction9, Reaction10, Reaction11, Reaction12, Reaction13, Reaction14, Reaction15, Reaction16, Reaction17, Reaction18, Reaction19, Reaction20, Reaction21, Reaction22, Reaction23, Reaction24, Reaction25, Reaction26, Reaction27, Reaction28, Reaction29, Reaction30, Reaction31, Reaction32, Reaction33, Reaction34, Reaction35, Reaction36, Reaction37, Reaction38, Reaction39, Reaction40, Reaction41, Reaction42, Reaction43, Reaction44, Reaction45, Reaction46, Reaction47
INVAR-1, Run: 055, P, 1, 4, 8, 0, 1, 0, 0, 0, 0, 1, 11, 68, 0, 0, 1, 3, 0, 0, 6, 1, 13, 49, 0, 0, 0, 0, 0, 5, 1, 11, 3, 13, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 82, 14, 0, 0, 0, 0, 0, 9, 13, 3, 0, 0, 0, 0, 7, 1, 14, 1, 62, 13, 67, 3, 83, 0, 0, 74, 0, 64, 0, 0, 9, 9
INVAR-1, Run: 056, P, 1, 21, 98, 0, 1, 3, 1, 0, 2, 1, 13, 1, 0, 0, 1, 1, 0, 0, 1, 1, 4, 21, 0, 0, 0, 0, 0, 22, 1, 122, 23, 130, 2, 0, 18, 18, 3, 0, 6, 4, 13, 0, 54, 0, 79, 6, 5, 53, 75, 5, 128, 1, 2, 2, 0, 0, 1, 0, 5, 1, 27, 6, 36, 3, 241, 4, 4, 235, 4, 33, 4, 4, 6, 6
INVAR-1, Run: 057, P, 1, 16, 62, 0, 1, 5, 0, 0, 4, 1, 8, 0, 0, 0, 1, 1, 0, 0, 2, 1, 10, 50, 0, 0, 0, 0, 0, 16, 0, 77, 15, 79, 4, 0, 19, 19, 5, 0, 18, 14, 8, 0, 17, 0, 167, 20, 20, 17, 162, 32, 75, 1, 1, 1, 0, 0, 2, 0, 11, 1, 67, 17, 48, 2, 541, 1, 1, 509, 5, 46, 5, 5, 32, 32
INVAR-1, Run: 058, P, 1, 6, 14, 0, 0, 3, 9, 1, 1, 1, 12, 1, 0, 0, 1, 0, 0, 0, 0, 1, 12, 30, 35, 2, 0, 0, 4, 7, 1, 26, 2, 28, 1, 2, 22, 21, 1, 0, 16, 15, 15, 3, 65, 0, 20, 38, 28, 64, 20, 56, 27, 0, 0, 0, 0, 0, 0, 0, 12, 0, 46, 16, 50, 15, 1410, 0, 0, 1338, 0, 0, 0, 0, 70, 66
INVAR-1, Run: 059, P, 1, 11, 32, 0, 1, 3, 10, 0, 2, 1, 13, 2, 0, 0, 1, 0, 0, 0, 0, 1, 15, 78, 57, 4, 0, 0, 5, 11, 0, 48, 6, 54, 0, 1, 32, 32, 2, 0, 4, 2, 14, 1, 75, 6, 0, 72, 62, 67, 0, 98, 54, 0, 0, 0, 0, 0, 0, 0, 16, 1, 104, 26, 79, 22, 2138, 0, 0, 2021, 0, 0, 0, 0, 113, 108
INVAR-1, Run: 060, P, 1, 17, 46, 0, 1, 1, 0, 0, 0, 1, 10, 7, 0, 0, 1, 1, 0, 0, 2, 1, 17, 78, 1, 0, 0, 0, 0, 17, 0, 66, 20, 66, 0, 0, 23, 23, 1, 0, 4, 4, 10, 0, 57, 6, 5, 24, 24, 44, 4, 23, 66, 1, 0, 0, 0, 0, 4, 2, 17, 0, 99, 21, 76, 7, 642, 1, 1, 619, 1, 68, 1, 1, 23, 23
INVAR-1, Run: 061, P, 1, 12, 44, 0, 1, 2, 0, 0, 1, 1, 9, 1, 0, 0, 1, 3, 0, 0, 12, 1, 13, 52, 0, 0, 0, 0, 0, 14, 2, 55, 11, 56, 0, 2, 2, 2, 0, 0, 11, 10, 12, 3, 33, 1, 48, 2, 2, 31, 45, 9, 56, 2, 4, 4, 1, 0, 13, 1, 13, 0, 69, 17, 61, 4, 234, 8, 8, 225, 3, 57, 3, 3, 9, 9
INVAR-1, Run: 062, P, 1, 15, 48, 0, 0, 5, 2, 1, 0, 1, 12, 21, 0, 0, 1, 1, 0, 0, 1, 1, 11, 42, 0, 0, 0, 0, 0, 17, 2, 76, 25, 78, 0, 1, 28, 27, 4, 0, 1, 1, 12, 0, 46, 5, 146, 45, 42, 20, 141, 51, 78, 1, 0, 0, 0, 0, 1, 0, 11, 0, 54, 12, 54, 7, 1256, 1, 1, 1202, 5, 47, 5, 5, 54, 54
INVAR-1, Run: 063, P, 1, 6, 15, 0, 1, 5, 0, 0, 7, 1, 17, 1, 0, 0, 0, 1, 0, 1, 2, 1, 8, 33, 0, 0, 0, 0, 0, 8, 2, 21, 6, 21, 0, 3, 10, 10, 2, 0, 27, 20, 19, 2, 87, 0, 23, 10, 10, 86, 22, 31, 21, 1, 2, 1, 0, 0, 2, 0, 8, 0, 44, 10, 39, 4, 642, 1, 0, 611, 0, 35, 1, 1, 31, 31
INVAR-1, Run: 064, P, 1, 10, 29, 1, 0, 3, 5, 1, 2, 1, 12, 0, 0, 0, 1, 0, 0, 0, 0, 1, 13, 52, 49, 1, 0, 0, 9, 11, 1, 43, 8, 58, 1, 0, 22, 21, 3, 0, 3, 1, 12, 0, 41, 7, 10, 32, 26, 34, 10, 67, 56, 0, 0, 0, 0, 0, 0, 0, 13, 0, 71, 19, 69, 20, 1728, 0, 0, 1645, 0, 0, 0, 0, 82, 73
INVAR-1, Run: 065, P, 1, 11, 44, 1, 0, 5, 5, 1, 4, 1, 10, 0, 0, 0, 1, 0, 0, 0, 0, 1, 10, 52, 38, 6, 0, 0, 7, 11, 0, 66, 16, 59, 0, 0, 32, 31, 5, 0, 8, 4, 11, 1, 61, 4, 57, 107, 101, 57, 57, 65, 58, 0, 0, 0, 0, 0, 0, 0, 11, 1, 64, 12, 53, 15, 1738, 0, 0, 1654, 0, 0, 0, 0, 78, 71
INVAR-1, Run: 066, P, 1, 7, 24, 1, 0, 2, 2, 1, 1, 1, 16, 3, 0, 0, 1, 0, 0, 0, 0, 1, 12, 37, 36, 4, 0, 0, 3, 7, 0, 35, 8, 45, 0, 0, 23, 22, 2, 0, 1, 0, 16, 0, 77, 12, 2, 29, 26, 62, 2, 60, 44, 0, 0, 0, 0, 0, 0, 0, 13, 1, 61, 24, 54, 18, 1324, 0, 0, 1254, 0, 0, 0, 0, 66, 63
INVAR-1, Run: 067, P, 1, 9, 40, 1, 1, 1, 0, 0, 1, 1, 12, 0, 0, 0, 1, 5, 0, 0, 9, 1, 7, 31, 0, 0, 0, 0, 0, 9, 0, 53, 13, 66, 0, 0, 1, 1, 1, 0, 9, 8, 14, 2, 75, 4, 30, 2, 2, 71, 27, 9, 65, 2, 8, 8, 3, 0, 10, 1, 9, 2, 42, 11, 42, 1, 122, 6, 6, 113, 3, 41, 3, 3, 9, 9
INVAR-1, Run: 068, P, 1, 15, 56, 7, 1, 3, 0, 0, 2, 1, 10, 0, 1, 0, 1, 1, 0, 0, 5, 1, 10, 35, 0, 0, 0, 0, 0, 16, 1, 76, 20, 52, 1, 2, 8, 8, 1, 0, 9, 7, 11, 1, 36, 0, 181, 22, 22, 36, 169, 22, 44, 1, 0, 0, 0, 0, 5, 0, 10, 0, 44, 9, 52, 4, 402, 0, 0, 380, 11, 48, 11, 11, 22, 22
INVAR-1, Run: 069, P, 1, 9, 50, 3, 1, 1, 0, 0, 3, 1, 14, 0, 0, 0, 1, 3, 0, 0, 16, 1, 15, 54, 0, 0, 0, 0, 0, 9, 0, 72, 22, 60, 0, 1, 3, 3, 0, 0, 8, 5, 14, 0, 79, 2, 48, 5, 5, 77, 44, 11, 57, 0, 13, 13, 3, 0, 20, 4, 15, 0, 69, 15, 71, 2, 233, 5, 5, 222, 4, 69, 4, 4, 11, 11
INVAR-1, Run: 070, P, 1, 9, 30, 0, 1, 0, 0, 0, 0, 1, 17, 70, 0, 0, 1, 1, 0, 0, 9, 1, 8, 40, 0, 0, 0, 0, 0, 9, 0, 38, 8, 37, 0, 0, 0, 0, 0, 0, 0, 0, 17, 0, 81, 11, 0, 0, 0, 0, 0, 0, 37, 1, 0, 0, 0, 0, 11, 2, 8, 0, 52, 12, 40, 0, 1, 0, 0, 1, 0, 40, 0, 0, 0, 0
INVAR-1, Run: 071, P, 1, 14, 67, 1, 1, 3, 0, 0, 1, 1, 7, 0, 0, 0, 1, 2, 0, 0, 8, 1, 7, 25, 0, 0, 0, 0, 0, 15, 1, 109, 42, 91, 2, 1, 18, 18, 2, 0, 11, 10, 8, 1, 30, 0, 205, 22, 22, 30, 200, 17, 88, 1, 8, 8, 1, 0, 11, 3, 9, 2, 35, 10, 43, 1, 274, 3, 3, 257, 5, 42, 5, 5, 17, 17
INVAR-1, Run: 072, P, 1, 8, 23, 0, 0, 8, 5, 1, 5, 1, 17, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 37, 52, 5, 0, 0, 4, 8, 0, 35, 6, 31, 0, 3, 20, 19, 5, 0, 22, 17, 17, 0, 75, 0, 45, 40, 34, 75, 41, 53, 31, 0, 0, 0, 0, 0, 0, 0, 16, 1, 51, 14, 63, 11, 1473, 1, 1, 1405, 4, 0, 4, 4, 63, 59
INVAR-1, Run: 073, P, 1, 11, 24, 0, 0, 2, 1, 1, 1, 1, 13, 2, 0, 0, 1, 0, 0, 0, 0, 1, 8, 28, 27, 3, 0, 0, 5, 12, 1, 37, 11, 57, 0, 1, 19, 18, 1, 0, 9, 8, 13, 0, 60, 1, 32, 15, 13, 57, 31, 30, 57, 0, 0, 0, 0, 0, 0, 0, 9, 1, 34, 6, 30, 3, 594, 0, 0, 554, 1, 0, 1, 1, 37, 32
INVAR-1, Run: 074, P, 1, 13, 52, 0, 0, 1, 0, 1, 1, 1, 10, 3, 0, 0, 1, 1, 0, 0, 3, 1, 16, 62, 0, 0, 0, 0, 0, 14, 1, 61, 8, 51, 0, 0, 28, 27, 1, 0, 6, 5, 10, 0, 40, 1, 44, 36, 35, 36, 42, 59, 51, 1, 0, 0, 0, 0, 3, 0, 18, 2, 88, 26, 108, 11, 1374, 0, 0, 1314, 2, 97, 2, 2, 60, 60
INVAR-1, Run: 075, P, 1, 9, 23, 0, 0, 5, 2, 1, 6, 1, 18, 0, 0, 1, 1, 0, 0, 0, 0, 1, 8, 47, 41, 4, 0, 0, 4, 9, 0, 32, 6, 26, 0, 0, 18, 17, 5, 0, 8, 2, 18, 0, 78, 7, 1, 43, 40, 71, 1, 79, 26, 0, 0, 0, 0, 0, 0, 0, 9, 1, 65, 18, 59, 18, 1723, 0, 0, 1632, 0, 0, 0, 0, 87, 83
INVAR-1, Run: 076, P, 1, 13, 32, 0, 1, 1, 0, 0, 0, 1, 15, 76, 0, 0, 1, 1, 0, 0, 2, 1, 5, 22, 0, 0, 0, 0, 0, 13, 0, 45, 13, 68, 0, 0, 8, 8, 1, 0, 0, 0, 17, 2, 84, 8, 0, 10, 10, 0, 0, 28, 68, 1, 0, 0, 0, 0, 2, 0, 5, 0, 35, 13, 37, 10, 676, 0, 0, 648, 0, 27, 0, 0, 28, 28
INVAR-1, Run: 077, P, 1, 11, 32, 2, 0, 4, 7, 1, 5, 1, 14, 0, 0, 0, 1, 0, 0, 0, 0, 1, 14, 46, 69, 5, 0, 1, 1, 11, 0, 49, 9, 52, 0, 1, 31, 30, 3, 0, 10, 5, 14, 0, 46, 1, 36, 88, 80, 45, 34, 113, 50, 0, 0, 0, 0, 0, 0, 0, 15, 1, 71, 25, 94, 25, 2702, 0, 0, 2575, 1, 0, 2, 1, 122, 121
INVAR-1, Run: 078, P, 1, 15, 55, 1, 0, 3, 6, 1, 2, 1, 7, 0, 0, 1, 1, 0, 0, 0, 0, 1, 7, 45, 27, 4, 0, 0, 1, 15, 0, 76, 14, 69, 2, 1, 22, 21, 2, 0, 13, 11, 7, 0, 38, 0, 150, 65, 58, 38, 146, 50, 66, 0, 6, 6, 0, 0, 0, 0, 9, 2, 59, 14, 36, 9, 1113, 1, 1, 1050, 4, 0, 4, 4, 59, 58
INVAR-1, Run: 079, P, 1, 17, 53, 8, 1, 4, 1, 0, 6, 1, 11, 0, 0, 0, 0, 1, 0, 1, 1, 1, 4, 12, 0, 0, 0, 0, 0, 17, 0, 72, 18, 75, 1, 2, 7, 7, 2, 0, 19, 13, 12, 1, 35, 0, 133, 8, 7, 35, 127, 5, 66, 1, 2, 1, 0, 0, 1, 0, 4, 0, 19, 6, 14, 3, 123, 3, 2, 117, 5, 11, 6, 6, 6, 6
INVAR-1, Run: 080, P, 1, 12, 49, 0, 1, 3, 0, 0, 2, 1, 11, 0, 0, 0, 1, 2, 0, 0, 2, 1, 8, 27, 0, 0, 0, 0, 0, 13, 1, 62, 13, 62, 1, 1, 27, 27, 2, 0, 10, 8, 12, 1, 56, 2, 42, 37, 37, 54, 38, 46, 61, 2, 1, 1, 0, 0, 2, 0, 8, 0, 39, 12, 49, 16, 1084, 2, 2, 1038, 4, 33, 4, 4, 46, 46
INVAR-1, Run: 081, P, 1, 10, 30, 1, 1, 3, 0, 0, 2, 1, 11, 0, 0, 0, 1, 1, 2, 0, 4, 1, 11, 43, 0, 0, 0, 0, 0, 10, 0, 38, 8, 46, 0, 0, 11, 11, 3, 0, 17, 15, 11, 0, 55, 3, 76, 14, 14, 52, 71, 24, 45, 1, 2, 2, 0, 0, 4, 0, 11, 0, 71, 26, 69, 3, 630, 4, 2, 606, 3, 66, 5, 5, 24, 24
INVAR-1, Run: 082, P, 1, 16, 65, 0, 1, 2, 0, 0, 2, 1, 16, 2, 0, 0, 1, 2, 0, 0, 11, 1, 12, 44, 0, 0, 0, 0, 0, 16, 0, 83, 18, 67, 1, 1, 3, 3, 1, 0, 19, 17, 16, 0, 72, 2, 69, 3, 3, 68, 66, 8, 66, 2, 0, 0, 0, 0, 13, 2, 13, 1, 59, 15, 56, 0, 138, 0, 0, 130, 3, 56, 3, 3, 8, 8
INVAR-1, Run: 083, P, 1, 21, 69, 2, 1, 2, 0, 0, 1, 1, 8, 1, 0, 0, 1, 1, 0, 0, 3, 1, 6, 29, 0, 0, 0, 0, 0, 21, 0, 108, 39, 103, 0, 0, 13, 13, 2, 0, 5, 4, 8, 0, 50, 1, 25, 23, 23, 48, 24, 14, 101, 1, 0, 0, 0, 0, 4, 1, 7, 1, 42, 13, 33, 3, 273, 0, 0, 259, 1, 30, 1, 1, 14, 14
INVAR-1, Run: 084, P, 1, 10, 37, 0, 0, 4, 1, 1, 6, 1, 11, 0, 0, 0, 1, 0, 0, 0, 0, 1, 16, 28, 37, 4, 0, 0, 6, 10, 0, 45, 6, 37, 0, 0, 16, 15, 4, 0, 10, 4, 12, 1, 78, 7, 19, 35, 33, 71, 19, 47, 37, 0, 0, 0, 0, 0, 0, 0, 17, 1, 40, 12, 54, 17, 1193, 0, 0, 1134, 0, 0, 0, 0, 55, 49
INVAR-1, Run: 085, P, 1, 7, 30, 1, 0, 4, 8, 1, 5, 1, 12, 0, 0, 0, 1, 0, 0, 0, 0, 1, 15, 54, 58, 8, 0, 0, 7, 7, 0, 53, 14, 48, 0, 0, 38, 37, 4, 0, 13, 8, 13, 1, 63, 1, 25, 114, 105, 62, 25, 102, 47, 0, 0, 0, 0, 0, 0, 0, 16, 1, 83, 29, 81, 23, 2288, 0, 0, 2162, 0, 0, 0, 0, 118, 111
INVAR-1, Run: 086, P, 1, 23, 79, 3, 0, 6, 15, 1, 6, 1, 11, 0, 0, 0, 0, 1, 1, 1, 0, 1, 11, 59, 63, 6, 0, 0, 5, 25, 2, 122, 27, 115, 3, 0, 42, 41, 6, 0, 13, 7, 11, 0, 27, 4, 124, 255, 239, 23, 119, 98, 109, 1, 5, 4, 0, 0, 0, 0, 13, 2, 86, 25, 81, 18, 2767, 6, 4, 2642, 3, 0, 5, 5, 119, 114
INVAR-1, Run: 087, P, 1, 9, 40, 0, 0, 4, 3, 1, 2, 1, 9, 1, 0, 0, 1, 0, 1, 0, 0, 1, 7, 23, 27, 6, 0, 0, 4, 10, 1, 67, 23, 70, 1, 1, 24, 23, 3, 0, 18, 16, 9, 0, 47, 0, 76, 41, 37, 46, 71, 29, 69, 0, 6, 6, 0, 0, 0, 0, 7, 0, 31, 7, 37, 10, 860, 5, 4, 817, 4, 0, 5, 5, 37, 33
INVAR-1, Run: 088, P, 1, 10, 28, 1, 1, 2, 7, 0, 3, 1, 11, 0, 2, 0, 1, 0, 0, 0, 0, 1, 9, 29, 30, 8, 0, 0, 2, 10, 0, 47, 12, 40, 0, 0, 19, 19, 2, 0, 3, 0, 12, 1, 61, 9, 33, 39, 32, 52, 28, 40, 39, 0, 0, 0, 0, 0, 0, 0, 9, 0, 42, 13, 35, 5, 867, 0, 0, 810, 3, 0, 3, 3, 49, 47
INVAR-1, Run: 089, P, 1, 11, 54, 1, 1, 2, 0, 0, 1, 1, 12, 0, 0, 0, 1, 1, 0, 0, 4, 1, 14, 55, 0, 0, 0, 0, 0, 11, 0, 81, 27, 65, 0, 2, 8, 8, 0, 0, 4, 3, 12, 0, 63, 7, 3, 11, 11, 56, 3, 17, 64, 1, 0, 0, 0, 0, 5, 1, 16, 2, 76, 21, 81, 3, 483, 0, 0, 466, 0, 78, 0, 0, 17, 17
INVAR-1, Run: 090, P, 1, 11, 27, 0, 1, 0, 0, 0, 0, 1, 10, 56, 0, 0, 1, 1, 0, 0, 4, 1, 10, 33, 0, 0, 0, 0, 0, 11, 0, 39, 12, 44, 0, 0, 0, 0, 0, 0, 0, 0, 12, 2, 65, 9, 0, 0, 0, 0, 0, 2, 44, 1, 0, 0, 0, 0, 4, 0, 10, 0, 53, 20, 44, 0, 75, 0, 0, 73, 0, 44, 0, 0, 2, 2
INVAR-1, Run: 091, P, 1, 9, 23, 0, 1, 2, 0, 0, 2, 1, 9, 0, 0, 0, 1, 1, 0, 0, 4, 1, 9, 41, 0, 0, 0, 0, 0, 9, 0, 32, 9, 31, 0, 2, 5, 5, 0, 0, 4, 2, 9, 0, 43, 2, 17, 8, 8, 41, 17, 12, 31, 2, 0, 0, 0, 1, 5, 1, 9, 0, 47, 6, 30, 1, 170, 0, 0, 158, 0, 29, 0, 0, 12, 12
INVAR-1, Run: 092, P, 1, 15, 49, 0, 0, 3, 11, 1, 1, 1, 11, 2, 0, 0, 1, 0, 0, 0, 0, 1, 12, 38, 47, 8, 0, 0, 2, 15, 0, 77, 16, 66, 0, 0, 29, 28, 3, 0, 7, 6, 11, 0, 41, 2, 82, 121, 109, 37, 80, 63, 66, 0, 0, 0, 0, 0, 0, 0, 12, 0, 50, 12, 58, 11, 1677, 0, 0, 1592, 2, 0, 2, 2, 77, 75
INVAR-1, Run: 093, P, 1, 14, 47, 12, 1, 8, 4, 0, 9, 1, 7, 0, 2, 0, 1, 1, 1, 0, 1, 1, 8, 30, 0, 0, 0, 4, 0, 15, 1, 60, 9, 63, 2, 1, 33, 33, 8, 1, 41, 32, 7, 0, 22, 0, 187, 69, 65, 22, 175, 49, 49, 0, 11, 11, 1, 0, 1, 0, 8, 0, 41, 10, 29, 9, 787, 9, 8, 734, 5, 20, 10, 6, 53, 53
INVAR-1, Run: 094, P, 1, 8, 27, 0, 1, 2, 0, 0, 0, 1, 12, 9, 0, 0, 1, 1, 0, 0, 5, 1, 22, 90, 1, 0, 0, 0, 0, 9, 1, 36, 9, 47, 0, 2, 0, 0, 0, 0, 7, 7, 12, 0, 71, 0, 6, 1, 1, 62, 6, 10, 47, 1, 0, 0, 0, 0, 5, 0, 22, 0, 111, 21, 104, 4, 269, 0, 0, 259, 0, 99, 0, 0, 10, 10
INVAR-1, Run: 095, P, 1, 9, 27, 0, 0, 6, 15, 1, 3, 1, 11, 0, 0, 0, 1, 0, 0, 0, 0, 1, 26, 104, 104, 8, 0, 0, 7, 10, 1, 60, 17, 50, 0, 0, 40, 39, 6, 0, 11, 8, 13, 2, 92, 7, 4, 153, 137, 85, 4, 135, 50, 0, 0, 0, 0, 0, 0, 0, 27, 1, 132, 28, 146, 42, 3780, 0, 0, 3614, 0, 0, 0, 0, 158, 151
INVAR-1, Run: 096, P, 1, 8, 26, 0, 1, 2, 0, 0, 2, 1, 15, 1, 0, 0, 1, 2, 0, 0, 12, 1, 8, 27, 0, 0, 0, 0, 0, 8, 0, 39, 13, 45, 0, 2, 0, 0, 0, 0, 5, 3, 17, 2, 66, 7, 14, 0, 0, 58, 13, 0, 45, 2, 0, 0, 0, 0, 13, 1, 9, 1, 34, 7, 34, 0, 3, 0, 0, 3, 1, 34, 1, 1, 0, 0
INVAR-1, Run: 097, P, 1, 10, 39, 0, 1, 3, 0, 0, 3, 1, 11, 0, 0, 0, 1, 1, 0, 0, 6, 1, 15, 59, 1, 0, 0, 0, 0, 11, 1, 57, 18, 49, 2, 3, 0, 0, 0, 0, 13, 10, 11, 0, 51, 0, 118, 0, 0, 51, 114, 0, 47, 1, 0, 0, 0, 0, 8, 2, 15, 0, 80, 21, 72, 0, 3, 0, 0, 3, 4, 71, 4, 4, 0, 0
INVAR-1, Run: 098, P, 1, 7, 30, 1, 0, 5, 3, 1, 1, 1, 15, 0, 0, 1, 1, 0, 0, 0, 0, 1, 10, 44, 41, 3, 0, 0, 4, 7, 0, 49, 15, 39, 0, 0, 26, 25, 5, 0, 6, 5, 15, 0, 89, 6, 14, 48, 44, 83, 14, 62, 38, 0, 0, 0, 0, 0, 0, 0, 12, 2, 57, 13, 61, 20, 1185, 0, 0, 1111, 0, 0, 0, 0, 71, 67
INVAR-1, Run: 099, P, 1, 8, 14, 5, 1, 4, 4, 0, 3, 1, 8, 0, 1, 0, 1, 0, 0, 0, 0, 1, 12, 52, 39, 2, 0, 2, 7, 11, 3, 24, 6, 34, 0, 1, 20, 20, 4, 1, 7, 4, 8, 0, 43, 3, 10, 26, 22, 40, 7, 49, 29, 0, 0, 0, 0, 0, 0, 0, 12, 0, 70, 18, 48, 9, 1301, 0, 0, 1239, 0, 0, 2, 0, 60, 53
INVAR-1, Run: 100, P, 1, 7, 24, 0, 1, 2, 0, 0, 4, 1, 8, 0, 0, 0, 1, 2, 0, 0, 9, 1, 4, 11, 0, 0, 0, 0, 0, 7, 0, 32, 8, 36, 2, 2, 0, 0, 0, 0, 20, 16, 10, 2, 47, 2, 60, 0, 0, 45, 54, 1, 34, 2, 4, 4, 0, 0, 10, 1, 6, 2, 13, 2, 16, 1, 46, 2, 2, 45, 6, 15, 6, 6, 1, 1
